run_name,fpr,tpr
logreg-baseline,0.0,0.0
logreg-baseline,0.00019375748608468964,0.6020408163265306
logreg-baseline,0.0002642147537518495,0.7959183673469388
logreg-baseline,0.0004403579229197492,0.826530612244898
logreg-baseline,0.0013210737687592475,0.8469387755102041
logreg-baseline,0.0015852885225110971,0.8775510204081632
logreg-baseline,0.005795110265623899,0.8877551020408163
logreg-baseline,0.006253082505460438,0.8877551020408163
logreg-baseline,0.011466920312830269,0.8979591836734694
logreg-baseline,0.014197139434932714,0.9081632653061225
logreg-baseline,0.01587049954202776,0.9081632653061225
logreg-baseline,0.02221165363207215,0.9081632653061225
logreg-baseline,0.023409427182413865,0.9081632653061225
logreg-baseline,0.02693229056577186,0.9183673469387755
logreg-baseline,0.029715352638624674,0.9183673469387755
logreg-baseline,0.03619742126400338,0.9183673469387755
logreg-baseline,0.03878672585077151,0.9183673469387755
logreg-baseline,0.05854998943140985,0.9183673469387755
logreg-baseline,0.06911857958148383,0.9183673469387755
logreg-baseline,0.07961671246389065,0.9285714285714286
logreg-baseline,0.08490100753892764,0.9387755102040817
logreg-baseline,0.08652152469527231,0.9387755102040817
logreg-baseline,0.09291552173606707,0.9387755102040817
logreg-baseline,0.09923906150919468,0.9489795918367347
logreg-baseline,0.10801099133375608,0.9489795918367347
logreg-baseline,0.11870288170224759,0.9489795918367347
logreg-baseline,0.1271225251884732,0.9489795918367347
logreg-baseline,0.1486824490946241,0.9489795918367347
logreg-baseline,0.1604488127950398,0.9489795918367347
logreg-baseline,0.17535052490664413,0.9489795918367347
logreg-baseline,0.17885577397308533,0.9489795918367347
logreg-baseline,0.19335235679560347,0.9489795918367347
logreg-baseline,0.19425068695835976,0.9489795918367347
logreg-baseline,0.1957655182132037,0.9489795918367347
logreg-baseline,0.2045198337208483,0.9489795918367347
logreg-baseline,0.20883534136546184,0.9489795918367347
logreg-baseline,0.21852321566969632,0.9489795918367347
logreg-baseline,0.22565701402099628,0.9489795918367347
logreg-baseline,0.2387796801240048,0.9489795918367347
logreg-baseline,0.24202071443669415,0.9489795918367347
logreg-baseline,0.24726978087789755,0.9489795918367347
logreg-baseline,0.2581025857817234,0.9489795918367347
logreg-baseline,0.264091453533432,0.9489795918367347
logreg-baseline,0.2747833439019235,0.9489795918367347
logreg-baseline,0.27659761854435283,0.9489795918367347
logreg-baseline,0.28174099908405553,0.9489795918367347
logreg-baseline,0.2824455717607271,0.9489795918367347
logreg-baseline,0.28487634749524415,0.9489795918367347
logreg-baseline,0.2912351159022053,0.9489795918367347
logreg-baseline,0.2987740435425914,0.9489795918367347
logreg-baseline,0.3021207637567815,0.9489795918367347
logreg-baseline,0.30837384626224196,0.9489795918367347
logreg-baseline,0.3104347213415064,0.9489795918367347
logreg-baseline,0.3132530120481928,0.9591836734693877
logreg-baseline,0.3171105474529698,0.9591836734693877
logreg-baseline,0.3196470090889875,0.9591836734693877
logreg-baseline,0.3203691960825759,0.9591836734693877
logreg-baseline,0.32558303388994575,0.9591836734693877
logreg-baseline,0.3274501514831255,0.9591836734693877
logreg-baseline,0.32926442612555484,0.9591836734693877
