run_name,precision,recall
logreg-baseline,0.0017232284156848954,1.0
logreg-baseline,0.0017319689659438346,1.0
logreg-baseline,0.001740829558575362,1.0
logreg-baseline,0.001749593844286148,1.0
logreg-baseline,0.00175850993199232,1.0
logreg-baseline,0.0017675811193477986,1.0
logreg-baseline,0.0017766175377531227,1.0
logreg-baseline,0.0017858119066275489,1.0
logreg-baseline,0.001795069055207532,1.0
logreg-baseline,0.0018044226768058036,1.0
logreg-baseline,0.0018140085887753592,1.0
logreg-baseline,0.0018235950874581318,1.0
logreg-baseline,0.0018335578506211644,1.0
logreg-baseline,0.0018433873182476534,1.0
logreg-baseline,0.0018537434267771346,1.0
logreg-baseline,0.001863861998136138,1.0
logreg-baseline,0.0018740558009676248,1.0
logreg-baseline,0.0018842168002922459,1.0
logreg-baseline,0.0018945252087844108,1.0
logreg-baseline,0.0019049470308096024,1.0
logreg-baseline,0.0019162707025674117,1.0
logreg-baseline,0.0019073837380788516,0.9897959183673469
logreg-baseline,0.0019180574230799653,0.9897959183673469
logreg-baseline,0.0019293116136603217,0.9897959183673469
logreg-baseline,0.0019402328279393528,0.9897959183673469
logreg-baseline,0.0019513176423254879,0.9897959183673469
logreg-baseline,0.0019624901369696725,0.9897959183673469
logreg-baseline,0.0019738716372959993,0.9897959183673469
logreg-baseline,0.001985264019647974,0.9897959183673469
logreg-baseline,0.0019967886697682077,0.9897959183673469
logreg-baseline,0.002008697452888797,0.9897959183673469
logreg-baseline,0.002020707039143387,0.9897959183673469
logreg-baseline,0.002032690695725063,0.9897959183673469
logreg-baseline,0.0020448173366781203,0.9897959183673469
logreg-baseline,0.0020572640509013787,0.9897959183673469
logreg-baseline,0.002069686559839546,0.9897959183673469
logreg-baseline,0.0020823047034325827,0.9897959183673469
logreg-baseline,0.002095077647465388,0.9897959183673469
logreg-baseline,0.002107962447844228,0.9897959183673469
logreg-baseline,0.0021209603358551626,0.9897959183673469
logreg-baseline,0.002134166464984269,0.9897959183673469
logreg-baseline,0.0021475380800566775,0.9897959183673469
logreg-baseline,0.002161030165307668,0.9897959183673469
logreg-baseline,0.0021747903681449262,0.9897959183673469
logreg-baseline,0.0021888257062911815,0.9897959183673469
logreg-baseline,0.0022031934949008564,0.9897959183673469
logreg-baseline,0.002217446964155084,0.9897959183673469
logreg-baseline,0.00223188605876533,0.9897959183673469
logreg-baseline,0.002246514428644217,0.9897959183673469
logreg-baseline,0.0022615467114313025,0.9897959183673469
logreg-baseline,0.002276621212476823,0.9897959183673469
logreg-baseline,0.002291843871089689,0.9897959183673469
logreg-baseline,0.002307271473085797,0.9897959183673469
logreg-baseline,0.0023231307180150403,0.9897959183673469
logreg-baseline,0.002339886624050175,0.9897959183673469
logreg-baseline,0.0023560273007699594,0.9897959183673469
logreg-baseline,0.0023723341811778516,0.9897959183673469
logreg-baseline,0.0023888095355366202,0.9897959183673469
logreg-baseline,0.002405574982020187,0.9897959183673469
logreg-baseline,0.0024230615507593923,0.9897959183673469
logreg-baseline,0.002440804207241891,0.9897959183673469
logreg-baseline,0.0024584970219237107,0.9897959183673469
logreg-baseline,0.0024765746674496386,0.9897959183673469
logreg-baseline,0.0024945351678024945,0.9897959183673469
logreg-baseline,0.002512823169783949,0.9897959183673469
logreg-baseline,0.0025313152400835075,0.9897959183673469
logreg-baseline,0.002550349687122049,0.9897959183673469
logreg-baseline,0.0025694683584540808,0.9897959183673469
logreg-baseline,0.0025888758407174124,0.9897959183673469
logreg-baseline,0.002608578727981713,0.9897959183673469
logreg-baseline,0.0026285838165953064,0.9897959183673469
logreg-baseline,0.002649115140922001,0.9897959183673469
logreg-baseline,0.0026697492637547133,0.9897959183673469
logreg-baseline,0.002690707350901526,0.9897959183673469
logreg-baseline,0.0027120729184141362,0.9897959183673469
logreg-baseline,0.002733703463630471,0.9897959183673469
logreg-baseline,0.002755838399909086,0.9897959183673469
logreg-baseline,0.0027784142988084327,0.9897959183673469
logreg-baseline,0.002801363137526714,0.9897959183673469
logreg-baseline,0.00282461197984916,0.9897959183673469
logreg-baseline,0.0028480826824828233,0.9897959183673469
logreg-baseline,0.0028720317403920174,0.9897959183673469
logreg-baseline,0.002896646459820229,0.9897959183673469
logreg-baseline,0.002921598747025692,0.9897959183673469
logreg-baseline,0.00294698465745101,0.9897959183673469
logreg-baseline,0.0029733623517150475,0.9897959183673469
logreg-baseline,0.002999752597723899,0.9897959183673469
logreg-baseline,0.0030266154950232458,0.9897959183673469
logreg-baseline,0.003053867707710229,0.9897959183673469
logreg-baseline,0.0030816151475680656,0.9897959183673469
logreg-baseline,0.0031100708583154317,0.9897959183673469
logreg-baseline,0.0031389554074169957,0.9897959183673469
logreg-baseline,0.003168381512330557,0.9897959183673469
logreg-baseline,0.0031981536432575007,0.9897959183673469
logreg-baseline,0.0032287055220850116,0.9897959183673469
logreg-baseline,0.0032599563098638885,0.9897959183673469
logreg-baseline,0.00329148286392942,0.9897959183673469
logreg-baseline,0.0033244225101103572,0.9897959183673469
logreg-baseline,0.003322604090956287,0.9795918367346939
logreg-baseline,0.003355704697986577,0.9795918367346939
logreg-baseline,0.0033899502101062892,0.9795918367346939
logreg-baseline,0.003388500499357968,0.9693877551020408
logreg-baseline,0.00342317670798501,0.9693877551020408
logreg-baseline,0.0034584440642178456,0.9693877551020408
logreg-baseline,0.003494317136866885,0.9693877551020408
logreg-baseline,0.003531729804081936,0.9693877551020408
logreg-baseline,0.0035694157430020664,0.9693877551020408
logreg-baseline,0.0036091482410151206,0.9693877551020408
logreg-baseline,0.003648513710730471,0.9693877551020408
logreg-baseline,0.0036890338614476545,0.9693877551020408
logreg-baseline,0.003730171195225381,0.9693877551020408
logreg-baseline,0.0037723861335027596,0.9693877551020408
logreg-baseline,0.003818174510670793,0.9693877551020408
logreg-baseline,0.0038625736938402116,0.9693877551020408
logreg-baseline,0.003908178377488893,0.9693877551020408
logreg-baseline,0.00395503746877602,0.9693877551020408
logreg-baseline,0.004002865208781022,0.9693877551020408
logreg-baseline,0.004054111722784108,0.9693877551020408
logreg-baseline,0.004104026265768101,0.9693877551020408
logreg-baseline,0.004155366984515791,0.9693877551020408
logreg-baseline,0.004207449399884849,0.9693877551020408
logreg-baseline,0.004262192112701332,0.9693877551020408
logreg-baseline,0.004316808288271913,0.9693877551020408
logreg-baseline,0.004373446275665225,0.9693877551020408
logreg-baseline,0.004431796977047956,0.9693877551020408
logreg-baseline,0.004491513403621578,0.9693877551020408
logreg-baseline,0.004553734061930784,0.9693877551020408
logreg-baseline,0.004617478370759211,0.9693877551020408
logreg-baseline,0.0046335091437866615,0.9591836734693877
logreg-baseline,0.00469929510573414,0.9591836734693877
logreg-baseline,0.004767943190464113,0.9591836734693877
logreg-baseline,0.0048381285706932935,0.9591836734693877
logreg-baseline,0.004909898145729955,0.9591836734693877
logreg-baseline,0.004984357601145342,0.9591836734693877
logreg-baseline,0.0050619278406031235,0.9591836734693877
